"Rank","Country","Overall Score","Internet Speed","Cost of Living","Safety","Visa Ease","Quality of Life","Taxes","Tax-free Period"
"1","Portugal","92","90","85","95","95","95","NHR 20%","10 years"
"2","Estonia","91","95","75","90","98","92","0-20%","183 days/year"
"3","Georgia","90","85","88","82","100","80","1%","183 days/year"
"4","Spain","89","88","80","92","92","94","24%","183 days/year"
"5","Thailand","88","85","95","80","90","88","0-35%","183 days/year"
"6","Mexico","87","82","90","75","94","86","1.92-35%","183 days/year"
"7","Czech Republic","86","87","78","88","85","90","15%","183 days/year"
"8","Malaysia","85","80","92","85","90","85","0-30%","182 days/year"
"9","Croatia","84","84","76","88","88","89","24%","1 year"
"10","Costa Rica","83","79","85","80","90","88","0-25%","183 days/year"
"11","Germany","82","90","70","90","85","95","14-45%","183 days/year"
"12","Netherlands","81","92","65","90","80","95","30-52%","183 days/year"
"13","Bali, Indonesia","80","75","90","80","85","85","5%","183 days/year"
"14","Vietnam","79","80","95","75","80","80","20%","183 days/year"
"15","Singapore","78","95","50","95","75","95","0-22%","183 days/year"
"16","Canada","77","85","60","90","80","95","15-33%","183 days/year"
"17","Malta","76","85","75","85","90","85","15%","183 days/year"
"18","Greece","75","80","80","80","85","85","22-44%","183 days/year"
"19","Cyprus","74","80","75","85","85","85","0-35%","183 days/year"
"20","Uruguay","73","75","75","80","90","80","12%","183 days/year"
"21","Panama","72","75","80","75","90","80","0%","183 days/year"
"22","Chile","71","80","75","80","85","85","0-35%","183 days/year"
"23","Argentina","70","70","85","70","85","80","5-35%","183 days/year"
"24","Colombia","69","70","85","65","90","80","0-39%","183 days/year"
"25","Japan","68","90","50","95","70","95","5-45%","183 days/year"
"26","South Korea","67","95","60","90","75","90","6-45%","183 days/year"
"27","Taiwan","66","90","75","90","75","85","5-40%","183 days/year"
"28","United Arab Emirates","65","85","60","90","90","90","0%","183 days/year"
"29","Barbados","64","75","70","80","95","85","5.5-28.5%","1 year"
"30","Montenegro","63","75","80","75","90","80","9-11%","183 days/year"
"31","Hungary","62","80","80","75","80","80","15%","183 days/year"
"32","Romania","61","85","85","75","80","75","10%","183 days/year"
"33","Bulgaria","60","80","85","75","80","75","10%","183 days/year"
"34","Serbia","59","80","85","70","90","75","10%","183 days/year"
"35","Australia","58","85","55","90","75","95","0-45%","183 days/year"
"36","New Zealand","57","85","60","95","75","95","10.5-39%","183 days/year"
"37","Iceland","56","90","50","95","80","95","31.45-46.25%","183 days/year"
"38","Norway","55","90","50","95","80","95","22-38.4%","183 days/year"
"39","Finland","54","90","55","95","80","95","0-31.25%","183 days/year"
"40","Sweden","53","90","55","90","80","95","0-57%","183 days/year"