original_name_var,name_var,description_var,cost_type
city,city_name,City name,
country,country_name,Country name,
x1,meal_inexpensive_restaurant,"Meal, Inexpensive Restaurant (USD)",Restaurantes y bebidas
x2,meal_midrange_restaurant_2p,"Meal for 2 People, Mid-Range Restaurant, Three-course (USD)",Restaurantes y bebidas
x3,mcmeal_fastfood,McMeal at McDonald’s (or Equivalent Combo Meal) (USD),Restaurantes y bebidas
x4,beer_domestic_restaurant_0_5l,"Domestic Beer (0.5 liter draught, in restaurant) (USD)",Restaurantes y bebidas
x5,beer_imported_restaurant_0_33l,"Imported Beer (0.33 liter bottle, in restaurant) (USD)",Restaurantes y bebidas
x6,cappuccino_restaurant,"Cappuccino (regular, in restaurant) (USD)",Restaurantes y bebidas
x7,soda_restaurant_0_33l,"Coke/Pepsi (0.33 liter bottle, in restaurant) (USD)",Restaurantes y bebidas
x8,water_restaurant_0_33l,"Water (0.33 liter bottle, in restaurant) (USD)",Restaurantes y bebidas
x9,milk_1l,"Milk (regular), 1 liter (USD)",Supermercado – alimentación básica
x10,bread_white_500g,Loaf of Fresh White Bread (500g) (USD),Supermercado – alimentación básica
x11,rice_white_1kg,White Rice (1kg) (USD),Supermercado – alimentación básica
x12,eggs_12,Eggs (regular) (12) (USD),Supermercado – alimentación básica
x13,cheese_local_1kg,Local Cheese (1kg) (USD),Supermercado – alimentación básica
x14,chicken_fillet_1kg,Chicken Breasts (1kg) (USD),Supermercado – alimentación básica
x15,beef_1kg,Beef Round (1kg) (or equivalent red meat) (USD),Supermercado – alimentación básica
x16,apples_1kg,Apples (1kg) (USD),Supermercado – alimentación básica
x17,bananas_1kg,Bananas (1kg) (USD),Supermercado – alimentación básica
x18,oranges_1kg,Oranges (1kg) (USD),Supermercado – alimentación básica
x19,tomatoes_1kg,Tomatoes (1kg) (USD),Supermercado – alimentación básica
x20,potatoes_1kg,Potatoes (1kg) (USD),Supermercado – alimentación básica
x21,onions_1kg,Onions (1kg) (USD),Supermercado – alimentación básica
x22,lettuce_1unit,Lettuce (1 head) (USD),Supermercado – alimentación básica
x23,water_1_5l_supermarket,"Water (1.5 liter bottle, in supermarket) (USD)",Supermercado – bebidas y otros
x24,wine_midrange_supermarket,"Bottle of Wine (Mid-Range, in supermarket) (USD)",Supermercado – bebidas y otros
x25,beer_domestic_supermarket_0_5l,"Domestic Beer (0.5 liter bottle, in supermarket) (USD)",Supermercado – bebidas y otros
x26,beer_imported_supermarket_0_33l,"Imported Beer (0.33 liter bottle, in supermarket) (USD)",Supermercado – bebidas y otros
x27,cigarettes_pack_marlboro,Cigarettes 20 Pack (Marlboro) (USD),Supermercado – bebidas y otros
x28,public_transport_ticket_one_way,One-way Ticket (Local Transport) (USD),Transporte
x29,public_transport_monthly_pass,Monthly Pass (Regular Price) (USD),Transporte
x30,taxi_start_fare,Taxi Start (Normal Tariff) (USD),Transporte
x31,taxi_per_km,Taxi 1km (Normal Tariff) (USD),Transporte
x32,taxi_waiting_1h,Taxi 1 hour Waiting (Normal Tariff) (USD),Transporte
x33,gasoline_1l,Gasoline (1 liter) (USD),Transporte
x34,car_vw_golf_new,Volkswagen Golf 1.4 90 KW Trendline (or equivalent new car) (USD),Vehículos (compra)
x35,car_toyota_corolla_new,Toyota Corolla Sedan 1.6l 97kW Comfort (or equivalent new car) (USD),Vehículos (compra)
x36,utilities_85sqm,"Basic Utilities (Electricity, Heating, Cooling, Water, Garbage) for 85m² Apartment (USD)",Vivienda y suministros
x37,mobile_prepaid_1min,1 min. of Prepaid Local Mobile Tariff (No Discounts or Plans) (USD),Vivienda y suministros
x38,internet_60mbps_unlimited,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)",Vivienda y suministros
x39,gym_monthly_membership,"Fitness Club, Monthly Fee for 1 Adult (USD)",Ocio y estilo de vida
x40,tennis_court_1h_weekend,Tennis Court Rent (1 Hour on Weekend) (USD),Ocio y estilo de vida
x41,cinema_ticket,"Cinema, International Release, 1 Seat (USD)",Ocio y estilo de vida
x42,private_preschool_monthly,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)",Educación y cuidado infantil
x43,international_primary_school_yearly,"International Primary School, Yearly for 1 Child (USD)",Educación y cuidado infantil
x44,jeans_levis_501,1 Pair of Jeans (Levis 501 or Similar) (USD),Ropa y calzado
x45,summer_dress_chain_store,"1 Summer Dress in a Chain Store (Zara, H&M, etc.) (USD)",Ropa y calzado
x46,nike_running_shoes,1 Pair of Nike Running Shoes (Mid-Range) (USD),Ropa y calzado
x47,leather_business_shoes,1 Pair of Men's Leather Business Shoes (USD),Ropa y calzado
x48,rent_1br_city_center,Apartment (1 bedroom) in City Centre (USD),Vivienda – alquiler y compra
x49,rent_1br_outside_center,Apartment (1 bedroom) Outside of Centre (USD),Vivienda – alquiler y compra
x50,rent_3br_city_center,Apartment (3 bedrooms) in City Centre (USD),Vivienda – alquiler y compra
x51,rent_3br_outside_center,Apartment (3 bedrooms) Outside of Centre (USD),Vivienda – alquiler y compra
x52,price_sqm_city_center,Price per Square Meter to Buy Apartment in City Centre (USD),Vivienda – alquiler y compra
x53,price_sqm_outside_center,Price per Square Meter to Buy Apartment Outside of Centre (USD),Vivienda – alquiler y compra
x54,avg_net_salary,Average Monthly Net Salary (After Tax) (USD),Economía y financiación
x55,mortgage_interest_rate_20y,"Mortgage Interest Rate (%), Yearly, for 20 Years Fixed-Rate",Economía y financiación
data_quality,data_quality_flag,0 if Numbeo believes more contributors are needed to increase data quality; 1 otherwise.,Calidad de los datos