rank,country,broadband_speed_mbps,mobile_speed_mbps,broadband_cost,monthly_rent,happiness_index,migrant_population_pct,remote_jobs_searches,digital_nomad_score
1,Canada,149.35,84.54,43.77,1111.5,7.23,21.3,83900,74.35
2,UK,76.49,41.72,44.83,1084.59,7.17,14.1,68400,63.43
3,Romania,188.55,41.48,10.23,380.25,6.12,2.4,10980,62.28
4,Sweden,158.73,56.64,49.72,1035.45,7.35,20.0,3490,61.54
5,Denmark,179.81,66.68,60.55,1239.03,7.65,12.5,1080,61.49
6,France,177.93,50.45,34.91,886.86,6.66,12.8,5360,60.8
7,Netherlands,125.82,88.13,53.27,1419.21,7.45,13.4,3440,60.27
8,Australia,58.52,88.35,60.71,1343.16,7.22,30.0,17600,60.16
9,Switzerland,186.4,73.85,90.52,1807.65,7.56,29.9,3840,60.15
10,Germany,120.13,49.67,36.09,964.08,7.08,15.7,12720,60.0
11,Norway,146.53,87.37,89.1,1274.13,7.49,16.1,980,59.77
12,Hungary,169.52,43.6,21.24,450.45,6.0,5.3,900,59.12
13,Luxembourg,144.0,62.26,60.47,1925.82,7.24,47.4,460,59.06
14,New Zealand,139.82,61.27,67.8,1234.35,7.3,22.3,1650,58.79
15,Singapore,229.42,64.06,54.99,2365.74,6.38,37.1,7890,58.76
16,Spain,160.41,41.98,49.44,864.63,6.4,13.1,13650,58.61
17,Lithuania,120.89,53.39,13.99,544.05,6.22,4.2,1000,58.17
18,Thailand,183.58,34.4,29.9,520.65,6.0,5.2,1680,58.13
19,Finland,108.84,53.89,55.05,976.95,7.81,6.9,810,58.08
20,Austria,74.21,55.19,45.18,943.02,7.29,19.9,500,57.31
21,Israel,113.48,23.98,24.99,1143.09,7.13,23.0,1490,56.63
22,Belgium,97.32,58.12,55.73,936.0,6.86,17.2,1450,56.57
23,Latvia,115.22,33.16,20.78,458.64,5.95,12.4,530,56.08
24,Malta,115.45,42.19,50.64,1105.65,6.77,19.3,2460,55.57
25,Czech Republic,68.72,46.57,28.09,668.07,6.91,4.8,620,55.55
26,Poland,111.81,37.76,19.82,617.76,6.19,1.7,1760,55.17
27,Slovenia,86.41,45.77,39.12,617.76,6.36,12.2,390,55.13
28,Chile,140.23,19.21,42.67,459.81,6.23,5.0,290,54.46
29,Estonia,74.73,48.82,36.32,585.0,6.02,14.4,690,54.45
30,Slovakia,90.65,39.78,23.29,622.44,6.28,3.4,470,54.39
31,UAE,117.84,129.61,145.6,1416.87,6.79,87.9,1050,53.88
32,Italy,75.42,40.65,41.78,786.24,6.39,10.4,5380,53.6
33,Japan,139.24,38.88,50.64,882.18,5.87,2.0,10200,53.58
34,Portugal,131.5,43.27,62.05,771.03,5.91,8.7,3750,53.54
35,Brazil,70.21,28.48,35.45,258.57,6.38,0.4,2780,53.49
36,Hong Kong,215.19,56.33,59.45,2452.32,5.51,39.6,1080,53.33
37,Ireland,93.34,30.51,71.97,1511.64,7.09,17.1,20770,53.15
38,Croatia,47.61,66.31,42.3,535.86,5.51,12.5,1180,52.86
39,Russia,78.07,22.82,9.23,335.79,5.55,8.0,160,52.72
40,Argentina,46.39,27.93,17.19,249.21,5.98,4.9,740,52.53
41,Costa Rica,42.44,26.42,54.26,530.01,7.12,8.3,1360,52.48
42,Cyprus,47.88,58.66,62.01,734.76,6.16,16.0,1020,52.34
43,Mexico,42.49,31.88,41.62,394.29,6.47,0.8,5670,52.08
44,Malaysia,90.81,24.63,39.87,389.61,5.38,10.7,3380,51.58
45,Uruguay,54.87,33.42,50.34,468.0,6.44,2.4,120,51.31
46,Turkey,28.74,36.79,17.09,221.13,5.13,7.0,3230,50.66
47,Vietnam,59.8,32.41,14.09,457.47,5.35,0.1,2640,50.55
48,Colombia,40.13,19.09,31.46,336.96,6.16,2.3,1440,50.36
49,Kuwait,110.33,58.95,61.38,968.76,6.1,72.1,50,50.03
50,Greece,31.89,41.16,50.92,437.58,5.52,11.6,4340,49.92
51,Ukraine,61.78,25.15,8.34,331.11,4.56,11.3,770,49.68
52,USA,165.88,53.44,62.78,1469.52,6.94,15.4,31400,49.27
53,China,140.74,124.39,39.43,558.09,5.12,0.1,580,49.1
54,Peru,42.27,22.51,32.86,452.79,5.8,2.4,410,48.89
55,Philippines,27.07,17.83,49.33,382.59,6.01,0.2,6410,48.12
56,Georgia,26.8,32.89,17.4,338.13,4.67,2.0,6290,47.95
57,Saudi Arabia,75.42,84.64,104.02,413.01,6.41,38.3,430,47.37
58,South Africa,37.24,38.73,56.21,613.54,4.81,7.2,10120,47.29
59,Ecuador,27.44,21.97,55.08,424.71,5.93,2.2,220,47.15
60,Indonesia,23.04,16.16,37.69,320.58,5.29,0.1,6260,46.57
61,Serbia,68.9,48.44,21.37,335.79,5.78,9.4,3020,43.97
62,Bulgaria,67.44,77.3,19.99,341.64,5.1,2.4,2000,43.62
63,Trinidad and Tobago,68.53,41.81,71.23,565.11,6.19,4.2,120,39.21
64,Albania,41.52,56.44,25.8,331.11,4.88,1.7,70,38.97
65,Panama,99.9,17.22,59.62,800.28,6.31,4.4,680,38.46
66,Pakistan,10.93,18.8,22.03,145.08,5.69,1.5,3550,37.9
67,Dominican Republic,26.83,28.04,33.29,384.93,5.69,5.3,960,37.81
68,Jamaica,36.05,37.62,59.72,463.32,5.89,0.8,310,37.07
69,Guatemala,16.1,27.65,47.87,582.66,6.4,0.5,440,36.84
70,El Salvador,17.17,19.91,52.68,395.46,6.35,0.7,240,36.6
71,Mauritius,21.62,30.38,63.15,395.46,6.1,2.3,230,36.6
72,Morocco,21.51,37.03,42.44,366.21,5.1,0.3,1290,35.49
73,Nicaragua,18.38,19.36,70.94,270.27,6.14,0.6,160,35.36
74,Bahrain,49.77,50.5,183.17,1012.05,6.23,45.2,180,35.09
75,Lebanon,10.98,41.03,50.4,907.92,4.77,27.2,880,34.6
76,Honduras,18.26,22.4,75.33,342.81,5.95,0.4,590,34.48
77,Tunisia,9.37,28.46,17.93,200.07,4.39,0.5,130,34.15
78,Egypt,34.72,19.99,17.35,221.13,4.15,0.5,300,33.84
79,Algeria,4.97,12.68,32.55,197.73,5.01,0.6,90,33.38
80,Cambodia,25.82,18.42,40.96,427.05,4.85,0.5,40,32.82
81,Sri Lanka,27.57,17.04,34.4,325.26,4.33,0.2,230,32.08
82,Kenya,17.66,22.47,70.44,306.54,4.58,2.0,3060,31.27
83,Ghana,47.46,15.04,87.3,691.47,5.15,1.5,80,30.36
84,Myanmar,19.13,22.83,46.22,778.05,4.31,0.1,150,29.16
85,Nigeria,13.23,16.93,98.2,783.9,4.72,0.6,530,26.32
